poiid,poiname,poiname_py,poiname_en,adcode,otype,stype,atype,rank,updatetime,update_flag,max_updatetime,address,address_en,x,y
1009952986,老凯食杂店,LaoKaiShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,乐郊路24号,,123.457685,41.791998
1009952987,家有儿女,JiaYouErNv,,210103,0X6,0xC,0xB,0.5,,1,,青年大街218号,,123.433834,41.788624
1009953399,老丁鲜牛羊肉铺,LaoDingXianNiuYangRouPu,,210103,0X6,0x7,0x3,0.5,,1,,乐郊路19号10,,123.451756,41.791815
1009953425,金盛博文化用品,JinShengBoWenHuaYongPin,,210103,0X6,0x8,0x0,0.5,,1,,小北关街200号,,123.451621,41.819762
1009953835,百事得便利店,BaiShiDeBianLiDian,,210103,0X6,0x2,0x0,0.5,,1,,先农坛路十七巷15号,,123.469802,41.782227
1009935662,雅户橱柜,YaHuChuGui,,210103,0X6,0x6,0x4,0.5,,1,,西顺城街150号,,123.448145,41.798393
1009956510,青青服装,QingQingFuZhuang,,210103,0X6,0xB,0x0,0.5,,1,,十三纬路101号,,123.427174,41.78564
1009956511,大洋电玩,DaYangDianWan,,210103,0X6,0xC,0x0,0.5,,1,,顺通商业街84号,,123.439962,41.785322
1009934902,大明府钟表眼镜公司(商家联盟),Da Ming Fu Zhong Biao Yan Jing Gong Si,,210103,0X6,0xC,0x4,0.5,,1,,中街路167号,,123.45861,41.801311
1009949212,中街(东顺城内街),ZhongJie(DongShunChengNeiJie),,210103,0X6,0xA,0x1,0.5,,1,,中街路205号,,123.461254,41.801345
1009949222,丰嘉家便利店,FengJiaJiaBianLiDian,,210103,0X6,0x2,0x0,0.5,,1,,南山东堡路49号,,123.450204,41.815381
1009949225,华诚传动轴有限公司,HuaChengChuanDongZhouYouXianGongSi,,210103,0X6,0xC,0x0,0.5,,1,,长青街91号10,,123.481204,41.775562
1009951454,美肌化妆品,MeiJiHuaZhuangPin,,210103,0X6,0xE,0x0,0.5,,1,,十三纬路117号,,123.431601,41.786465
1009958351,辽河振动机械厂振动时效设备销售处,LiaoHeZhenDongJiXieChangZhenDongShiXiaoSheBeiXiaoShouChu,,210103,0X6,0xC,0x0,0.5,,1,,会武街20号,,123.427646,41.785306
1009936327,琪顺寄卖商行,QiShunJiMaiShangHang,,210103,0X6,0xD,0x0,0.5,,1,,热闹路108号,,123.458764,41.788164
1009936332,台湾莲慈休闲小站,TaiWanLianCiXiuXianXiaoZhan,,210103,0X6,0x0,0x0,0.5,,1,,文会街55号,,123.428456,41.792357
1009935990,宏达鞋机,HongDaXieJi,,210103,0X6,0xC,0x0,0.5,,1,,北顺城路11号,,123.451127,41.804743
1009935992,鑫泰百货商店,XinTaiBaiHuoShangDian,,210103,0X6,0x2,0x0,0.5,,1,,小西路64号,,123.4424,41.80292
1009942122,禄禄服饰设计室,LuLuFuShiSheJiShi,,210103,0X6,0xB,0x0,0.5,,1,,十三纬路101号,,123.427497,41.785701
1009948593,宏伟食杂店,HongWeiShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,南关路57号,,123.456704,41.780421
1009948607,芝兰休闲服饰店,ZhiLanXiuXianFuShiDian,,210103,0X6,0xB,0x0,0.5,,1,,南三经街19号,,123.426086,41.787541
1009941388,迦美地童装店,JiaMeiDiTongZhuangDian,,210103,0X6,0xB,0x0,0.5,,1,,文化路82号,,123.449399,41.771245
1009945378,衣香丽影(热闹路),YiXiangLiYing,,210103,0X6,0xB,0x0,0.5,,1,,热闹路76号五爱大厦3层311-318,,123.4531,41.788242
1009945387,水鑫水站(南关路),ShuiXinShuiZhan(NanGuanLu),,210103,0X6,0xC,0x0,0.5,,1,,南关路40号,,123.448704,41.781597
1009949803,玉珠超市,YuZhuChaoShi,,210103,0X6,0x2,0x0,0.5,,1,,西顺城街222号,,123.448105,41.79541
1009949805,月月兴食杂店,YueYueXingShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,十纬路44号,,123.425408,41.791297
1009955904,瑞阳百货鲜花礼品店,RuiYangBaiHuoXianHuaLiPinDian,,210103,0X6,0x2,0x0,0.5,,1,,中街路淡泊巷32号,,123.450271,41.80205
1009934715,洪涛奶站,HongTaoNaiZhan,,210103,0X6,0x7,0x3,0.5,,1,,药王庙路13号,,123.437098,41.796533
1009934716,连心姐妹蔬菜店,LianXinJieMeiShuCaiDian,,210103,0X6,0x7,0x5,0.5,,1,,小南街六合巷88号,,123.455377,41.783224
1009919903,中国发熊力造型,ZhongGuoFaXiongLiZaoXing,,210103,0X7,0xB,0x0,0.5,,1,,中街路淡泊巷32号,,123.450273,41.802236
1009919904,富士照像馆,FuShiZhaoXiangGuan,,210103,0X7,0xD,0x0,0.5,,1,,沈阳路143号,,123.454414,41.797422
1009956942,庆泰皮毛专业店,QingTaiPiMaoZhuanYeDian,,210103,0X6,0xB,0x0,0.5,,1,,大南街184号,,123.458678,41.784356
1009956954,中国移动&联通售卡站(风雨坛街),ZhongGuoYiDongLianTongShouKaZhan(FengYuTanJie),,210103,0X6,0x3,0x5,0.5,,1,,风雨坛街97号,,123.447066,41.786248
1009956958,佐客便利店(南顺城路),ZuoKeBianLiDian(NanShunChengLu),,210103,0X6,0x2,0x0,0.5,,1,,南顺城路37号,,123.455428,41.792747
1009957372,沈阳市长泰卷帘门厂,ShenYangShiZhangTaiJuanLianMenChang,,210103,0X6,0x6,0x1,0.5,,1,,南文会街4号,,123.430056,41.789595
1009935345,澳金纺织,AoJinFangZhi,,210103,0X6,0x0,0x0,0.5,,1,,南乐郊路85-5号,,123.455683,41.789902
1009949731,好又好食杂店,HaoYouHaoShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,魁星楼路16号,,123.466342,41.792216
1009949739,泰梦特羊绒,TaiMengTeYangRong,,210103,0X6,0xB,0x0,0.5,,1,,热闹路76号五爱大厦6层613,,123.4531,41.788242
1009956248,彩塔杂货店,CaiTaZaHuoDian,,210103,0X6,0x2,0x0,0.5,,1,,南一经街152号,,123.433367,41.784179
1009956253,衣路领先服饰店,YiLuLingXianFuShiDian,,210103,0X6,0xB,0x0,0.5,,1,,九纬路48号,,123.428971,41.793675
